Matricula, Marca, Modelo, Ano, Dono, Codigo do Veiculo
06-FK-48, Renault, Espace, 2007, 14806663, 1
96-SF-51, Renault, Kangoo, 1995, 1500382, 29
01-OO-49, Renault, Kangoo, 1999, 11455324, 30
30-NL-49, Renault, Megane, 2009, 1914714, 34
70-HH-26, Renault, Megane, 2008, 5458768, 37
34-ME-65, Renault, Espace, 2010, 4091584, 45
81-FP-93, Renault, Megane, 2006, 13724573, 71
07-PM-06, Renault, Megane, 1990, 11977120, 94
56-QA-09, Renault, Megane, 1992, 13116531, 99
88-NE-57, Renault, Espace, 2002, 8164861, 103
15-RI-68, Renault, Kangoo, 2006, 9850207, 127
68-DL-42, Renault, Espace, 1994, 3075804, 151
22-GM-49, Renault, Kangoo, 1991, 1548535, 159
97-KI-81, Renault, Espace, 1992, 1863235, 181
78-JA-53, Renault, Kangoo, 1998, 5741643, 195
67-GB-02, Renault, Espace, 1992, 6082387, 201
02-RN-89, Renault, Espace, 2008, 5301580, 228
93-KB-82, Renault, Kangoo, 2004, 13734185, 238
95-UO-93, Renault, Megane, 2004, 12888136, 240
43-TM-42, Renault, Espace, 1992, 13745845, 242
11-QR-11, Renault, Kangoo, 1993, 3561970, 249
15-UD-88, Renault, Kangoo, 2006, 6357705, 255
76-KS-83, Renault, Megane, 1992, 3561305, 270
98-NG-43, Renault, Espace, 1998, 1401297, 273
50-DA-72, Renault, Kangoo, 1996, 9622074, 276
28-TO-96, Renault, Megane, 1996, 6185862, 294
68-PB-57, Renault, Kangoo, 2004, 9117848, 296
83-JF-47, Renault, Kangoo, 1991, 4834417, 300
37-AL-25, Renault, Megane, 2009, 7774088, 302
17-DJ-06, Renault, Megane, 2007, 7924233, 318
45-UN-03, Renault, Megane, 2008, 11148685, 330
18-LD-01, Renault, Megane, 1994, 3746505, 360
05-GG-07, Renault, Kangoo, 2004, 5079956, 385
26-HV-53, Renault, Megane, 1999, 4693931, 409
86-OL-89, Renault, Kangoo, 1998, 12085122, 435
87-KE-12, Renault, Kangoo, 1992, 4359968, 451
53-AL-86, Renault, Espace, 2001, 6917231, 458
48-RQ-11, Renault, Espace, 2002, 9773232, 460
90-SS-45, Renault, Espace, 2001, 3023488, 461
73-OK-23, Renault, Espace, 1992, 11285979, 468
72-DE-47, Renault, Megane, 2000, 11626384, 469
17-NQ-66, Renault, Megane, 2002, 8030191, 481
52-ME-63, Renault, Kangoo, 1995, 2700146, 502
71-EE-09, Renault, Kangoo, 1994, 7377647, 528
40-KO-77, Renault, Kangoo, 2010, 12056968, 534
30-DT-69, Renault, Espace, 2005, 4540205, 535
28-AJ-72, Renault, Kangoo, 1996, 7592284, 542
52-JD-40, Renault, Megane, 2008, 7957490, 545
25-JE-82, Renault, Megane, 2001, 14505094, 556
68-FQ-27, Renault, Kangoo, 2008, 5286814, 560
14-VU-23, Renault, Espace, 1990, 12387819, 564
12-BR-30, Renault, Megane, 1991, 6854818, 567
34-ST-16, Renault, Kangoo, 1991, 11763870, 576
21-KH-87, Renault, Kangoo, 2007, 11906102, 578
70-OA-36, Renault, Espace, 2009, 11328812, 584
48-RB-48, Renault, Kangoo, 1995, 6463886, 607
92-CH-06, Renault, Megane, 1996, 2654789, 608
65-PL-76, Renault, Megane, 1998, 7124481, 616
64-RP-53, Renault, Megane, 2010, 1173687, 622
44-TK-03, Renault, Espace, 2006, 14594366, 624
35-KC-94, Renault, Kangoo, 1995, 13008840, 635
88-EQ-82, Renault, Espace, 1999, 5239249, 653
27-VG-16, Renault, Espace, 2005, 14386489, 656
91-MP-58, Renault, Kangoo, 2007, 1242239, 668
87-CH-38, Renault, Espace, 1999, 13941246, 682
01-PS-15, Renault, Espace, 2010, 11422648, 693
38-RR-67, Renault, Kangoo, 2004, 5802855, 714
45-PA-13, Renault, Espace, 2009, 14599744, 718
79-GB-33, Renault, Espace, 2001, 12352854, 722
19-VN-36, Renault, Kangoo, 2003, 14888886, 755
12-EQ-45, Renault, Kangoo, 2004, 14446770, 757
27-LL-92, Renault, Kangoo, 1998, 14882809, 765
11-BD-76, Renault, Espace, 2001, 6438629, 769
75-QT-31, Renault, Megane, 1991, 9635785, 799
54-UJ-54, Renault, Megane, 2009, 14379254, 804
30-BO-51, Renault, Kangoo, 1995, 2399596, 807
92-CK-08, Renault, Kangoo, 2001, 2437909, 823
74-UQ-73, Renault, Megane, 1995, 4836919, 860
91-DC-18, Renault, Espace, 2007, 2891323, 871
01-GF-95, Renault, Espace, 1998, 4498301, 872
23-VL-47, Renault, Megane, 2009, 3938147, 879
07-SF-77, Renault, Kangoo, 1990, 13118705, 901
30-VN-94, Renault, Espace, 2009, 12777320, 927
89-QR-32, Renault, Kangoo, 2008, 11000069, 975
67-VC-49, Renault, Espace, 2002, 7458016, 985
01-BI-09, Renault, Megane, 2000, 9256077, 990
19-VL-48, Renault, Espace, 2004, 7322553, 995
69-NS-66, Renault, Megane, 1995, 13048821, 1014
14-TC-32, Renault, Kangoo, 2009, 7537589, 1031
25-FP-81, Renault, Kangoo, 1992, 14108913, 1037
45-US-75, Renault, Espace, 1994, 11442128, 1043
58-GB-13, Renault, Kangoo, 2005, 9370708, 1089
35-VJ-39, Renault, Megane, 1994, 3766967, 1090
87-BH-46, Renault, Espace, 1998, 12537039, 1097
26-KT-55, Renault, Megane, 2007, 4693931, 1110
59-DF-49, Renault, Megane, 2000, 1519477, 1131
87-KH-15, Renault, Kangoo, 2009, 2855709, 1133
32-OU-30, Renault, Espace, 1999, 3686352, 1163
55-AE-40, Renault, Espace, 2000, 8282456, 1168
80-DR-41, Renault, Megane, 1997, 4254968, 1173
19-GM-31, Renault, Kangoo, 2006, 6705436, 1176
90-DE-87, Renault, Megane, 1993, 7913359, 1178
31-TE-47, Renault, Megane, 2002, 7581386, 1190
50-AC-63, Renault, Kangoo, 2003, 4768401, 1215
42-PF-82, Renault, Espace, 2009, 7755076, 1225
67-LQ-03, Renault, Megane, 1991, 13903485, 1229
88-TQ-23, Renault, Espace, 2003, 5604225, 1257
63-OJ-57, Renault, Megane, 1990, 5898690, 1262
49-MJ-37, Renault, Kangoo, 1993, 2409199, 1263
37-UI-71, Renault, Espace, 2008, 5272859, 1265
34-TS-86, Renault, Megane, 1990, 12528514, 1285
40-EI-50, Renault, Kangoo, 1993, 14208509, 1286
44-FB-37, Renault, Espace, 1997, 5217946, 1288
35-HT-91, Renault, Megane, 1993, 3804480, 1295
54-PM-76, Renault, Espace, 2008, 13290205, 1333
56-QA-34, Renault, Megane, 2002, 4383696, 1334
86-FT-41, Renault, Espace, 2009, 1343173, 1335
80-AB-05, Renault, Megane, 1996, 13762346, 1350
23-HT-79, Renault, Espace, 2006, 4273864, 1351
68-LC-88, Renault, Espace, 1993, 9540436, 1374
72-EV-22, Renault, Espace, 2007, 12090941, 1381
29-MD-91, Renault, Megane, 2005, 13184361, 1391
47-RI-52, Renault, Kangoo, 2000, 4240361, 1392
81-TS-89, Renault, Kangoo, 2009, 12332108, 1402
68-ON-01, Renault, Espace, 1995, 2963353, 1407
22-UQ-67, Renault, Megane, 1997, 8728112, 1418
34-FC-87, Renault, Megane, 2002, 1783257, 1424
95-HC-62, Renault, Kangoo, 1995, 7145955, 1457
86-PB-87, Renault, Kangoo, 2006, 7844687, 1487
41-OG-04, Renault, Megane, 2000, 13067806, 1491
66-IE-40, Renault, Kangoo, 2004, 11354978, 1499
77-IN-65, Renault, Espace, 1997, 1657679, 1531
82-CG-55, Renault, Espace, 2006, 2930114, 1545
07-RB-48, Renault, Kangoo, 1999, 4135292, 1587
99-TE-90, Renault, Megane, 1999, 5205263, 1611
98-TM-77, Renault, Kangoo, 1999, 5754446, 1618
34-IP-97, Renault, Espace, 1991, 2481862, 1629
65-PT-63, Renault, Espace, 1999, 6666880, 1631
73-SH-92, Renault, Espace, 2008, 9944214, 1645
07-JV-21, Renault, Megane, 2005, 12694493, 1651
19-PG-83, Renault, Kangoo, 1992, 3476864, 1653
26-PG-12, Renault, Kangoo, 1991, 12027348, 1666
34-BN-47, Renault, Kangoo, 1998, 2014010, 1677
